ArtifactType,Name,Validity
Package,Cloud Integration - Trading Partner Management V2,INVALID
Package,Integration Suite First PoC,INVALID
Package,Dummy Package new Name,INVALID
Package,SAP AMQP Event Mesh,INVALID
Package,SAP Cloud Integration with SAP Alert Notification service for SAP BTP,INVALID
Package,Germnay_Assets,VALID
Package,Custom IFlows for B2B Integration,INVALID
Package,ASG Playground,INVALID
IntegrationFlow,Mikas Test,INVALID
IntegrationFlow,Receiver Iflow 2,INVALID
IntegrationFlow,Receiver Iflow 1,INVALID
IntegrationFlow,Generic Outbound IFlow for CPEX Flows,INVALID
IntegrationFlow,CustomStatus_IFLOW,VALID
IntegrationFlow,SplitandAggregateScenario,VALID
IntegrationFlow,SampleIFlowtoReadKeyStore,VALID
IntegrationFlow,Receiver Iflow 3,INVALID
IntegrationFlow,Step 2 Call Final IFlow,INVALID
IntegrationFlow,Step 1 Source Inbound to Inbound JMS,INVALID
IntegrationFlow,DatastoreUseCase,VALID
IntegrationFlow,Generic DataStore DLQ Processing,INVALID
IntegrationFlow,Check iflow implementation Maria,INVALID
IntegrationFlow,Download iFlows Test,INVALID
IntegrationFlow,ExtractIFlowYML,VALID
IntegrationFlow,dddd,VALID
IntegrationFlow,Dummy_iFlow,VALID
MessageMapping,MM_IDOC_to_IDOC,VALID
IntegrationFlow,Naming Convention Check for Packages,INVALID
IntegrationFlow,UC7 Naming Convention Check_copy,INVALID
MessageMapping,MM_IDOC_to_SOAP,VALID
ValueMapping,Dummy Value Mapping,INVALID
IntegrationFlow,Step 3 - Receiver Communication Flow V2,INVALID
IntegrationFlow,Step 1 - Sender AS2 Communication Flow V2,INVALID
ScriptCollection,SC_Sample_ScriptCollection 1,INVALID
ScriptCollection,Dummy Script Collection,INVALID
IntegrationFlow,Step 1 - Sender IDOC Communication Flow V2,INVALID
IntegrationFlow,Step 1 - Sender SOAP Communication Flow V2,INVALID
IntegrationFlow,Step 1b - Write Message to Message queue,INVALID
IntegrationFlow,Step 1 - Sender Communication Flow V2 - Internal,INVALID
IntegrationFlow,Step 1 - Sender AS2 MDN Flow V2,INVALID
IntegrationFlow,Step 2 - Interchange Processing Flow V2,INVALID
IntegrationFlow,Step 1 - Sender Process Direct Communication Flow V2,INVALID
IntegrationFlow,IDOC_Despatcher,VALID
IntegrationFlow,Inbound Delivery_DESADV_DELVRY0781_SAPToWMS,INVALID
IntegrationFlow,ShipconDelivry_RECADV098_WMStoSAP,VALID
ScriptCollection,Reusable Groovy Scripts V2,INVALID
IntegrationFlow,DESADV_DELVRY07_SAP_To_EDI,VALID
IntegrationFlow,UC2 Event Consumer 2 Queue,INVALID
IntegrationFlow,HTTPSEntryPoint,VALID
IntegrationFlow,Replicate invoice from S4HANA_v2,INVALID
IntegrationFlow,UC2 EventPublisher,INVALID
IntegrationFlow,UC3 Integration Content Catalog Creation IS to GIT adjusted,INVALID
IntegrationFlow,UC2 Event Consumer 4 Topic,INVALID
IntegrationFlow,UC3 IntegrationFlowsSyncwithGIT,INVALID
IntegrationFlow,UC5 Generic Outbound Iflow for all Receivers using PD,INVALID
IntegrationFlow,UC7 Naming Convention Check with PD for GIT Synchronization,INVALID
IntegrationFlow,UC2 Event Consumer 3 Queue,INVALID
IntegrationFlow,UC6 Step 1 Inbound Processing to JMS,INVALID
IntegrationFlow,UC6 Step 2 Generic JMS Sender IFlow,INVALID
IntegrationFlow,UC4 HowToUsePartnerDirectory,INVALID
IntegrationFlow,UC6 Step 3 Call Final IFlow,INVALID
IntegrationFlow,UC2 Event Consumer 1 Queue,INVALID
IntegrationFlow,UC3 ArtifactsSyncwithGIT_Dispatcher,INVALID
IntegrationFlow,UC3 ValueMappingsSyncwithGIT,INVALID
IntegrationFlow,UC3 ArtifactsSyncwithGIT,INVALID
IntegrationFlow,UC3 ScriptCollectionsSyncwithGIT,INVALID
IntegrationFlow,UC1 Integration Artifacts Catalog,INVALID
IntegrationFlow,UC3 MessageMappingsSyncwithGIT,INVALID
IntegrationFlow,Integration Flow PoC,INVALID
IntegrationFlow,UC7 Naming Convention Check with PD,INVALID
IntegrationFlow,AMQP,VALID
IntegrationFlow,Send notifications for failed Message Processing Logs,INVALID
